"File","Pattern","Line","Original","Fixed","ContextBefore","ContextAfter"
"src\agents\gemmaAgent.ts","Object Literal Colon in Function Call","86","executeAgentWithTools(prompt: string)","executeAgentWithTools(prompt, string)","}

export async function executeAgentWithTools(prompt: string): Promise<{","  toolResults: ToolResult[];
}> {
  const agentResponse = await runGemmaAgent(prompt);"
"src\agents\tools.ts","Object Literal Colon in Function Call","15","embedQuery(text: string)","embedQuery(text, string)","// --- embedQuery with robust shape handling and fallback ---

async function embedQuery(text: string): Promise<number[]> {","
  for (const model of models) {
    try {"
"src\agents\tools.ts","Object Literal Colon in Function Call","97","toolWebSearch(args: { query: string })","toolWebSearch(args, { query: string })","// --- web_search (stub) unchanged, or you can replace with real search API ---

async function toolWebSearch(args: { query: string }): Promise<any> {","    summary: `Web search not wired yet. Pretend we searched: ""${args.query}""`,
    results: [],
  };"
"src\agents\tools.ts","Object Literal Colon in Function Call","106","toolRagLookup(args: { query: string; topK?: number })","toolRagLookup(args, { query: string; topK?: number })","// --- real RAG lookup over codemod memories ---

async function toolRagLookup(args: { query: string; topK?: number }): Promise<any> {","  const vector = await embedQuery(query);
  const neighbors = await qdrantSearchCodemods(vector, topK);
"
"src\agents\tools.ts","Object Literal Colon in Function Call","131","toolWebCrawl(args: { url: string; depth?: number; maxLinks?: number })","toolWebCrawl(args, { url: string; depth?: number; maxLinks?: number })","// --- NEW: web_crawl tool (fetch + optional shallow crawl) ---

async function toolWebCrawl(args: { url: string; depth?: number; maxLinks?: number }): Promise<any> {","
  if (depth <= 0) {
    const page = await fetchAndParse(url);"
"src\agents\tools.ts","Object Literal Colon in Function Call","160","toolWebDocSummary(args: { url: string; topic?: string })","toolWebDocSummary(args, { url: string; topic?: string })","// --- OPTIONAL: ""web_doc_summary"" tool that uses Gemma to summarize a URL into README-ready markdown without full agent loop ---

async function toolWebDocSummary(args: { url: string; topic?: string }): Promise<any> {","  const page = await fetchAndParse(url);

  const prompt = ["
"src\agents\tools.ts","Object Literal Colon in Function Call","217","toolCodeSearch(args: { pattern: string; path?: string })","toolCodeSearch(args, { pattern: string; path?: string })","// --- existing code_search stub or implementation ---

async function toolCodeSearch(args: { pattern: string; path?: string }): Promise<any> {","  return {
    summary: `Code search not wired yet. Pretend we ran rg ""${pattern}"" in ""${path}"".`,
  };"
"src\agents\tools.ts","Object Literal Colon in Function Call","235","executeToolCall(call: ToolCall)","executeToolCall(call, ToolCall)","};

export async function executeToolCall(call: ToolCall): Promise<ToolResult> {","  if (!impl) {
    throw new Error(`Unknown tool: ${call.tool}`);
  }"
"src\agents\webFetch.ts","Object Literal Colon in Function Call","20","uploadToMinIO(key: string, data: string)","uploadToMinIO(key, string, data: string)"," * Optional: Upload crawled data to MinIO bucket for persistence
 */
async function uploadToMinIO(key: string, data: string): Promise<void> {","  // Install: npm install @aws-sdk/client-s3
  // Then use S3Client with MinIO endpoint
"
"src\agents\webFetch.ts","Object Literal Colon in Function Call","47","stripHtml(html: string)","stripHtml(html, string)"," * or ""unified + rehype-parse + remark-stringify"".
 */
function stripHtml(html: string): string {","  html = html.replace(/<script[\s\S]*?<\/script>/gi, '');
  html = html.replace(/<style[\s\S]*?<\/style>/gi, '');
  // Remove tags"
"src\agents\webFetch.ts","Object Literal Colon in Function Call","58","fetchAndParse(url: string, storeInMinIO: boolean = false)","fetchAndParse(url, string, storeInMinIO: boolean = false)","}

export async function fetchAndParse(url: string, storeInMinIO: boolean = false): Promise<FetchedPage> {","    method: 'GET',
    headers: {
      'User-Agent': 'YoRHaLegalAI/1.0 (+https://localhost)',"
"src\lib\ai\client-wasm-llama.ts","Object Literal Colon in Function Call","143","analyzeComplexity(query: string)","analyzeComplexity(query, string)","   * Analyze query complexity to determine routing
   */
  private analyzeComplexity(query: string): {","    complexity: number;
    useServer: boolean;
    reason: string;"
"src\lib\ai\client-wasm-llama.ts","Object Literal Colon in Function Call","186","estimateTokens(text: string)","estimateTokens(text, string)","   * Estimate token count (rough approximation)
   */
  private estimateTokens(text: string): number {","    return Math.ceil(text.length / 4);
  }
"
"src\lib\ai\client-wasm-llama.ts","Object Literal Colon in Function Call","221","generateClientResponse(query: string, options: any, analysis: any)","generateClientResponse(query, string, options: any, analysis: any)","   * Generate response using client-side WebAssembly model
   */
  private async generateClientResponse(query: string, options: any, analysis: any): Promise<any> {","      // Fallback to server if client model unavailable
      return this.generateServerResponse(query, options, analysis);
    }"
"src\lib\ai\client-wasm-llama.ts","Object Literal Colon in Function Call","263","generateServerResponse(query: string, options: any, analysis: any)","generateServerResponse(query, string, options: any, analysis: any)","   * Generate response using server TensorRT
   */
  private async generateServerResponse(query: string, options: any, analysis: any): Promise<any> {","
    try {
      // Use your existing TensorRT bridge"
"src\lib\ai\client-wasm-llama.ts","Object Literal Colon in Function Call","308","buildLegalPrompt(query: string)","buildLegalPrompt(query, string)","   * Build legal-optimized prompt
   */
  private buildLegalPrompt(query: string): string {","You are a legal AI assistant. Provide accurate, helpful responses while noting that this is not legal advice.

Query: ${query}"
"src\lib\ai\client-wasm-llama.ts","Object Literal Colon in Function Call","331","updateContextRules(newRules: Partial<ContextSwitchRules>)","updateContextRules(newRules, Partial<ContextSwitchRules>)","   * Update context switching rules
   */
  updateContextRules(newRules: Partial<ContextSwitchRules>): void {","  }
}
"
"src\lib\ai\langchain-qdrant-retriever.ts","Object Literal Colon in Function Call","22","embed(query: string)","embed(query, string)","  }

  private async embed(query: string): Promise<number[] | null> {","  }

  async search("
"src\lib\ai\langchain-qdrant-retriever.ts","Object Literal Colon in Function Call","64","rerank(docs: Document[], query: string)","rerank(docs, Document[], query: string)","  }

  async rerank(docs: Document[], query: string): Promise<Document[]> {","    return docs
      .sort((a, b) => (b.metadata?.score || 0) - (a.metadata?.score || 0))
      .slice(0, this.topK);"
"src\lib\ai\langchain-qdrant-retriever.ts","Object Literal Colon in Function Call","71","retrieve(query: string, filters: Record<string, unknown> = {})","retrieve(query, string, filters: Record<string, unknown> = {})","  }

  async retrieve(query: string, filters: Record<string, unknown> = {}): Promise<Document[]> {","    return this.rerank(docs, query);
  }
}"
"src\lib\ai\langchain-qdrant-retriever.ts","Object Literal Colon in Function Call","79","retrieveLegalPrecedent(query: string)","retrieveLegalPrecedent(query, string)","export const legalRetriever = new LangchainQdrantRetriever(5);

export async function retrieveLegalPrecedent(query: string) {","}
"
"src\lib\ai\ollama-client.ts","Object Literal Colon in Function Call","27","constructor(baseUrl: string = 'http://localhost:11434')","constructor(baseUrl, string = 'http://localhost:11434')","  private baseUrl: string;

  constructor(baseUrl: string = 'http://localhost:11434') {","  }

  async generate(prompt: string, options?: OllamaGenerateOptions): Promise<OllamaGenerateResult> {"
"src\lib\ai\ollama-client.ts","Object Literal Colon in Function Call","31","generate(prompt: string, options?: OllamaGenerateOptions)","generate(prompt, string, options?: OllamaGenerateOptions)","  }

  async generate(prompt: string, options?: OllamaGenerateOptions): Promise<OllamaGenerateResult> {","    // In a real implementation, this would send the prompt to an Ollama service
    // and parse its response.
    return {"
"src\lib\ai\ollama-client.ts","Object Literal Colon in Function Call","47","embed(text: string, model: string = 'embeddinggemma:latest')","embed(text, string, model: string = 'embeddinggemma:latest')","  }

  async embed(text: string, model: string = 'embeddinggemma:latest'): Promise<number[]> {","    // In a real implementation, this would send the text to an Ollama service
    // and parse its response.
    // Return a dummy embedding of 768 dimensions"
"src\lib\ai\ollama-config.ts","Object Literal Colon in Function Call","18","getOllamaModel(tag: OllamaModelTag = 'default')","getOllamaModel(tag, OllamaModelTag = 'default')","}

export function getOllamaModel(tag: OllamaModelTag = 'default'): string {","    case 'legal':
      return (
        process.env.OLLAMA_MODEL_LEGAL ??"
"src\lib\ai\ollama-config.ts","Object Literal Colon in Function Call","77","generateCachedEmbedding(text: string, options: { 

  model?: string, 

  baseUrl?: string,

  forceRefresh?: boolean

} = {})","generateCachedEmbedding(text, string, options: { 

  model?: string, 

  baseUrl?: string,

  forceRefresh?: boolean

} = {})"," */

export async function generateCachedEmbedding(text: string, options: { ","  model?: string, 

  baseUrl?: string,"
"src\lib\api\production-service-client.ts","Object Literal Colon in Function Call","16","constructor(serviceName: string)","constructor(serviceName, string)","  private baseUrl: string;

  constructor(serviceName: string) {","    this.baseUrl = getGoServiceBaseUrl(serviceName);
    if (!this.baseUrl) {
      throw new Error(`Base URL not configured for service: ${serviceName}`);"
"src\lib\api\production-service-client.ts","Object Literal Colon in Function Call","85","productionServiceClient(serviceName: string)","productionServiceClient(serviceName, string)"," * @returns An instance of ProductionServiceClient.
 */
export function productionServiceClient(serviceName: string): ProductionServiceClient {","}
"
"src\lib\client\workflow-event-stream.ts","Object Literal Colon in Function Call","214","createWorkflowStore(sessionId: string, baseUrl = '')","createWorkflowStore(sessionId, string, baseUrl = '')"," * @returns A store with connect/disconnect methods
 */
export function createWorkflowStore(sessionId: string, baseUrl = ''): WorkflowStore {","  const store = stream.getStore();

  return {"
"src\lib\client\workflow-event-stream.ts","Object Literal Colon in Function Call","250","isWorkflowComplete(events: WorkflowEvent[])","isWorkflowComplete(events, WorkflowEvent[])"," * Helper to check if workflow is complete
 */
export function isWorkflowComplete(events: WorkflowEvent[]): boolean {","}

/**"
"src\lib\client\workflow-event-stream.ts","Object Literal Colon in Function Call","257","hasWorkflowErrors(events: WorkflowEvent[])","hasWorkflowErrors(events, WorkflowEvent[])"," * Helper to check if workflow has errors
 */
export function hasWorkflowErrors(events: WorkflowEvent[]): boolean {","}

/**"
"src\lib\client\workflow-event-stream.ts","Object Literal Colon in Function Call","264","getWorkflowProgress(events: WorkflowEvent[])","getWorkflowProgress(events, WorkflowEvent[])"," * Helper to get workflow progress percentage (0-100)
 */
export function getWorkflowProgress(events: WorkflowEvent[]): number {","  const completedStages = stages.filter((stage) =>
    events.some((event) => event.type === stage)
  ).length;"
"src\lib\gpu\glyph-shader-cache-bridge.ts","Object Literal Colon in Function Call","8","linkShaderToVertexCache(shaderId: string, vertexKey: string)","linkShaderToVertexCache(shaderId, string, vertexKey: string)"," * Link a shader id to a vertex cache key.
 */
export function linkShaderToVertexCache(shaderId: string, vertexKey: string) {","  shaderToVertex.get(shaderId)!.add(vertexKey);
}
"
"src\lib\gpu\glyph-shader-cache-bridge.ts","Object Literal Colon in Function Call","16","getVertexKeysForShader(shaderId: string)","getVertexKeysForShader(shaderId, string)"," * Get vertex cache keys associated with a shader id.
 */
export function getVertexKeysForShader(shaderId: string): string[] {","  return set ? Array.from(set) : [];
}
"
"src\lib\gpu\glyph-shader-cache-bridge.ts","Object Literal Colon in Function Call","24","unlinkShaderVertex(shaderId: string, vertexKey?: string)","unlinkShaderVertex(shaderId, string, vertexKey?: string)"," * Remove a mapping or a vertex key from a shader entry.
 */
export function unlinkShaderVertex(shaderId: string, vertexKey?: string) {","  if (!set) return;
  if (vertexKey) {
    set.delete(vertexKey);"
"src\lib\gpu\vertex-cache-manager.ts","Object Literal Colon in Function Call","21","store(key: string, buffer: Uint8Array, ttlSeconds?: number)","store(key, string, buffer: Uint8Array, ttlSeconds?: number)","  }

  async store(key: string, buffer: Uint8Array, ttlSeconds?: number) {","    // best-effort Redis persistence
    if (this.redis?.setBuffer) {
      try {"
"src\lib\gpu\vertex-cache-manager.ts","Object Literal Colon in Function Call","33","get(key: string)","get(key, string)","  }

  get(key: string): Uint8Array | null {","    if (!e) return null;
    if (e.ttl && Date.now() - e.createdAt > (e.ttl || 0) * 1000) {
      this.mem.delete(key);"
"src\lib\gpu\vertex-cache-manager.ts","Object Literal Colon in Function Call","43","has(key: string)","has(key, string)","  }

  has(key: string): boolean {","  }

  evict(key: string) {"
"src\lib\gpu\vertex-cache-manager.ts","Object Literal Colon in Function Call","47","evict(key: string)","evict(key, string)","  }

  evict(key: string) {","    if (this.redis?.del) {
      try {
        this.redis.del(`vertex:${key}`);"
"src\lib\gpu\visual-memory-palace-integration.ts","Object Literal Colon in Function Call","31","embedText(text: string, url?: string)","embedText(text, string, url?: string)","}

async function embedText(text: string, url?: string): Promise<number[]> {","  try {
    const res = await fetch(endpoint, {
      method: 'POST',"
"src\lib\gpu\visual-memory-palace-integration.ts","Object Literal Colon in Function Call","60","constructor(opts: VisualMemoryOptions = {})","constructor(opts, VisualMemoryOptions = {})","  private inMemoryIndex = new Map<string, MemoryRecord>();

  constructor(opts: VisualMemoryOptions = {}) {","    this.redis = opts.redisClient ?? null;
    this.minio = opts.minioClient ?? null;
    this.ollamaUrl = opts.ollamaUrl;"
"src\lib\gpu\visual-memory-palace-integration.ts","Object Literal Colon in Function Call","67","storeMemory(text: string, metadata?: Record<string, unknown>)","storeMemory(text, string, metadata?: Record<string, unknown>)","  }

  async storeMemory(text: string, metadata?: Record<string, unknown>): Promise<MemoryRecord> {","    const id = `mem_${Date.now().toString(36)}_${Math.random().toString(36).slice(2, 8)}`;
    const rec: MemoryRecord = {
      id,"
"src\lib\gpu\visual-memory-palace-integration.ts","Object Literal Colon in Function Call","122","findSimilar(query: string, topK = 6)","findSimilar(query, string, topK = 6)","   * Find similar memories by a text query. If Qdrant exists use it, otherwise fallback to brute-force cosine search in-memory.
   */
  async findSimilar(query: string, topK = 6): Promise<MemoryRecord[]> {","
    // Prefer Qdrant search if available
    if (this.qdrant?.search) {"
"src\lib\gpu\visual-memory-palace-integration.ts","Object Literal Colon in Function Call","143","cosine(a: number[], b: number[])","cosine(a, number[], b: number[])","
    // Brute-force in-memory cosine search
    function cosine(a: number[], b: number[]) {","        db = 0,
        num = 0;
      for (let i = 0; i < Math.min(a.length, b.length); i++) {"
"src\lib\machines\document-processing-machine.ts","Object Literal Colon in Function Call","7","splitText(text: string, chunkSize: number = 512)","splitText(text, string, chunkSize: number = 512)","
// Placeholder for splitText function
function splitText(text: string, chunkSize: number = 512): string[] {","  const chunks: string[] = [];
  for (let i = 0; i < text.length; i += chunkSize) {
    chunks.push(text.slice(i, i + chunkSize));"
"src\lib\server\fetchEmbeddingOllama.ts","Object Literal Colon in Function Call","3","fetchEmbeddingOllama(text: string)","fetchEmbeddingOllama(text, string)","import { fetchOllama } from '$lib/utils/fetch-with-timeout';

export async function fetchEmbeddingOllama(text: string): Promise<number[]> {","    const response = await fetchOllama('http://localhost:11434/api/embeddings', {
      method: 'POST',
      headers: { 'Content-Type': 'application/json' },"
"src\lib\server\logger.ts","Object Literal Colon in Function Call","4","format(level: string, msg: string, meta?: LogArgs)","format(level, string, msg: string, meta?: LogArgs)","type LogArgs = Record<string, unknown>;

function format(level: string, msg: string, meta?: LogArgs) {","  try {
    console.log(JSON.stringify(payload));
  } catch (e) {"
"src\lib\server\vector-search-service.ts","Object Literal Colon in Function Call","57","generateMockResults(limit: number)","generateMockResults(limit, number)","/*  Mock Data for Fallback                                                    */
/* -------------------------------------------------------------------------- */
function generateMockResults(limit: number): VectorSearchResult[] {","    {
      id: 'doc-101',
      score: 0.95,"
"src\lib\server\actions\legal-actions.ts","Object Literal Colon in Function Call","32","splitText(text: string, chunkSize: number = 512)","splitText(text, string, chunkSize: number = 512)","
// Placeholder for splitText utility (already defined in document-processing-machine.ts, but needed here too)
function splitText(text: string, chunkSize: number = 512): string[] {","  const chunks: string[] = [];
  for (let i = 0; i < text.length; i += chunkSize) {
    chunks.push(text.slice(i, i + chunkSize));"
"src\lib\server\agents\legal-agent-swarm.ts","Object Literal Colon in Function Call","26","analyzeDocument(documentText: string)","analyzeDocument(documentText, string)","  private ollama = new OllamaClient();

  async analyzeDocument(documentText: string): Promise<AgentSwarmResult> {","    const analysisAgent = await this.runAgent({
      role: 'Document Analyzer',
      task: `Extract key facts from this legal document:\n\n${documentText.slice(0, 2000)}`,"
"src\lib\server\agents\legal-agent-swarm.ts","Object Literal Colon in Function Call","62","runAgent(config: {
    role: string;
    task: string;
    model: string;
  })","runAgent(config, {
    role: string;
    task: string;
    model: string;
  })","  }

  private async runAgent(config: {","    task: string;
    model: string;
  }): Promise<AgentOutput> {"
"src\lib\server\agents\legal-agent-swarm.ts","Object Literal Colon in Function Call","99","synthesizeOutputs(agents: AgentOutput[])","synthesizeOutputs(agents, AgentOutput[])","  }

  private async synthesizeOutputs(agents: AgentOutput[]): Promise<string> {","      `${a.role}:\n${a.output}`
    ).join('\n\n---\n\n');
"
"src\lib\server\agents\legal-agent-swarm.ts","Object Literal Colon in Function Call","122","generateRecommendations(synthesis: string)","generateRecommendations(synthesis, string)","  }

  private async generateRecommendations(synthesis: string): Promise<Recommendation[]> {","
${synthesis}
"
"src\lib\server\ai\embedder.ts","Object Literal Colon in Function Call","41","embeddingFunction(text: string)","embeddingFunction(text, string)","}

export async function embeddingFunction(text: string) {","    return { embedding: [] as number[], keywords: [] as string[] };
  }
"
"src\lib\server\ai\embedder.ts","Object Literal Colon in Function Call","73","extractKeywords(text: string)","extractKeywords(text, string)","}

function extractKeywords(text: string): string[] {","  return Array.from(new Set(matches)).slice(0, 10);
}
"
"src\lib\server\ai\embeddinggemma-service.ts","Object Literal Colon in Function Call","28","fetchJSON(url: string, body: unknown)","fetchJSON(url, string, body: unknown)","/*  Low-level HTTP fetch helper                                               */
/* -------------------------------------------------------------------------- */
async function fetchJSON(url: string, body: unknown) {","    method: ""POST"",
    headers: { ""Content-Type"": ""application/json"" },
    body: JSON.stringify(body),"
"src\lib\server\ai\graph-rag-orchestrator.ts","Object Literal Colon in Function Call","54","getRedisBoost(id: string)","getRedisBoost(id, string)","let qdrant = qdrantClientFactory();

async function getRedisBoost(id: string): Promise<number> {","    await ensureRedisReady();
    if (!sharedRedis) return 0;
    const v = await sharedRedis.get(`rag:boost:${id}`);"
"src\lib\server\ai\graph-rag-orchestrator.ts","Object Literal Colon in Function Call","67","fetchQdrantHits(embedding: number[], limit: number, filters?: Record<string, any>)","fetchQdrantHits(embedding, number[], limit: number, filters?: Record<string, any>)","}

async function fetchQdrantHits(embedding: number[], limit: number, filters?: Record<string, any>) {","  try {
    const resp = await qdrant.search(COLLECTION, {
      vector: embedding,"
"src\lib\server\ai\graph-rag-orchestrator.ts","Object Literal Colon in Function Call","96","fetchGraphNeighbors(ids: string[], expand: number)","fetchGraphNeighbors(ids, string[], expand: number)","}

async function fetchGraphNeighbors(ids: string[], expand: number) {","  const neo4jUri = process.env.NEO4J_URI;
  if (neo4jUri) {
    try {"
"src\lib\server\ai\graph-rag-orchestrator.ts","Object Literal Colon in Function Call","169","normalizeWeights(items: Array<{ id: string; weight?: number }>)","normalizeWeights(items, Array<{ id: string; weight?: number }>)","}

function normalizeWeights(items: Array<{ id: string; weight?: number }>) {","  const max = weights.length ? Math.max(...weights) : 1;
  return items.map((i, idx) => ({
    id: i.id,"
"src\lib\server\ai\graph-rag-orchestrator.ts","Object Literal Colon in Function Call","213","queryGraphRag(opts: QueryOptions)","queryGraphRag(opts, QueryOptions)","}

export async function queryGraphRag(opts: QueryOptions): Promise<RagResult[]> {","  const expand = opts.expandNeighbors ?? DEFAULT_EXPAND;

  // 1) ensure embedding"
"src\lib\server\bootstrap\redis.ts","Object Literal Colon in Function Call","40","retryStrategy(times: number)","retryStrategy(times, number)","    enableReadyCheck: true,
    lazyConnect: true,
    retryStrategy(times: number) {","      logger.warn('Redis retry attempt', { attempt: times, delay });
      return delay;
    },"
"src\lib\server\bootstrap\redis.ts","Object Literal Colon in Function Call","216","set(key: string, value: any, ttlSeconds?: number)","set(key, string, value: any, ttlSeconds?: number)","   * Set a cache value with optional TTL
   */
  async set(key: string, value: any, ttlSeconds?: number): Promise<void> {","    const serialized = JSON.stringify(value);

    if (ttlSeconds) {"
"src\lib\server\bootstrap\redis.ts","Object Literal Colon in Function Call","248","del(key: string)","del(key, string)","   * Delete a cache value
   */
  async del(key: string): Promise<void> {","    await this.redis.del(fullKey);
    logger.debug('Cache deleted', { key: fullKey });
  }"
"src\lib\server\bootstrap\redis.ts","Object Literal Colon in Function Call","257","exists(key: string)","exists(key, string)","   * Check if a key exists
   */
  async exists(key: string): Promise<boolean> {","    const result = await this.redis.exists(fullKey);
    return result === 1;
  }"
"src\lib\server\bootstrap\redis.ts","Object Literal Colon in Function Call","292","setSessionState(sessionId: string, state: any, ttlSeconds = 3600)","setSessionState(sessionId, string, state: any, ttlSeconds = 3600)","   * Store workflow session state
   */
  async setSessionState(sessionId: string, state: any, ttlSeconds = 3600): Promise<void> {","    logger.info('Workflow session state stored', { sessionId });
  }
"
"src\lib\server\bootstrap\redis.ts","Object Literal Colon in Function Call","307","deleteSession(sessionId: string)","deleteSession(sessionId, string)","   * Delete workflow session
   */
  async deleteSession(sessionId: string): Promise<void> {","    logger.info('Workflow session deleted', { sessionId });
  }
"
"src\lib\server\bootstrap\redis.ts","Object Literal Colon in Function Call","315","publishWorkflowEvent(sessionId: string, event: any)","publishWorkflowEvent(sessionId, string, event: any)","   * Publish workflow event for SSE
   */
  async publishWorkflowEvent(sessionId: string, event: any): Promise<void> {","    await publishMessage(this.redis, channel, event);
    logger.debug('Workflow event published', { sessionId, eventType: event?.type });
  }"
"src\lib\server\cache\redis.ts","Object Literal Colon in Function Call","29","formatError(error: unknown)","formatError(error, unknown)","}

export function formatError(error: unknown): string {","  if (typeof error === 'string') return error;
  try {
    return JSON.stringify(error);"
"src\lib\server\cache\redis.ts","Object Literal Colon in Function Call","89","set(key: string, value: unknown, ttlMs: number)","set(key, string, value: unknown, ttlMs: number)","  }

  set(key: string, value: unknown, ttlMs: number): void {","      const oldest = this.store.keys().next().value;
      if (oldest) this.store.delete(oldest);
    }"
"src\lib\server\cache\redis.ts","Object Literal Colon in Function Call","101","delete(key: string)","delete(key, string)","  }

  delete(key: string): void {","  }
}
"
"src\lib\server\cache\redis.ts","Object Literal Colon in Function Call","115","encode(value: unknown)","encode(value, unknown)","  }

  private encode(value: unknown): string {","    return gzipSync(Buffer.from(json, 'utf8')).toString('base64');
  }
"
"src\lib\server\cache\redis.ts","Object Literal Colon in Function Call","163","safeShutdown(client: RedisClientInstance)","safeShutdown(client, RedisClientInstance)","  }

  private async safeShutdown(client: RedisClientInstance): Promise<void> {","      await client.quit();
    } catch {
      /* ignore */"
"src\lib\server\cache\redis.ts","Object Literal Colon in Function Call","176","hash(value: string)","hash(value, string)","  }

  private hash(value: string): string {","  }

  public async get<T>(key: string): Promise<T | null> {"
"src\lib\server\cache\redis.ts","Object Literal Colon in Function Call","211","del(key: string)","del(key, string)","  }

  public async del(key: string): Promise<void> {","    if (client) {
      try {
        await client.del(key);"
"src\lib\server\cache\redis.ts","Object Literal Colon in Function Call","289","getEmbedding(text: string, model = 'default')","getEmbedding(text, string, model = 'default')","  }

  public async getEmbedding(text: string, model = 'default'): Promise<number[] | null> {","  }

  public async setEmbedding(text: string, embedding: number[], model = 'default'): Promise<void> {"
"src\lib\server\cache\redis.ts","Object Literal Colon in Function Call","293","setEmbedding(text: string, embedding: number[], model = 'default')","setEmbedding(text, string, embedding: number[], model = 'default')","  }

  public async setEmbedding(text: string, embedding: number[], model = 'default'): Promise<void> {","  }

  public async getSearchResults("
"src\lib\server\cache\redis.ts","Object Literal Colon in Function Call","316","getShader(key: string)","getShader(key, string)","  }

  public async getShader(key: string): Promise<string | null> {","  }

  public async setShader(key: string, wgsl: string, ttlMs = 6 * 60 * 60 * 1000): Promise<void> {"
"src\lib\server\cache\redis.ts","Object Literal Colon in Function Call","320","setShader(key: string, wgsl: string, ttlMs = 6 * 60 * 60 * 1000)","setShader(key, string, wgsl: string, ttlMs = 6 * 60 * 60 * 1000)","  }

  public async setShader(key: string, wgsl: string, ttlMs = 6 * 60 * 60 * 1000): Promise<void> {","  }

  public async close(): Promise<void> {"
"src\lib\server\cache\redis.ts","Object Literal Colon in Function Call","394","deleteLangCache(model: string, prompt: string)","deleteLangCache(model, string, prompt: string)","}

export async function deleteLangCache(model: string, prompt: string): Promise<void> {","}

export async function getRedisClient(): Promise<RedisClientInstance | null> {"
"src\lib\server\embeddings\auto-embed-service.ts","Object Literal Colon in Function Call","10","constructor(redis: Redis)","constructor(redis, Redis)","  private redis: Redis;

  constructor(redis: Redis) {","  }

  async embedText(text: string, model: string = 'embeddinggemma:latest'): Promise<number[]> {"
